Descricao;Codigo
RUBY KISSES SO JELLY LIP BALM VANILLA;7898741805144
SCRUB STICK BALM BAMBOO 6,2G - FRAN;7898969501903
SHAMPOO MIRACLE TRUSS 300ML;7898352519584
SHINE HIGHLIGHT STICK EDITION-ILUMI;7908725504229
SISTER BLEND OCEANE - ESPONJA DE;7908725501594
SKIN FOUNDATION - BASE LIQUIDA./110F - .;7908725500016
SKIN FOUNDATION - BASE LIQUIDA./210L - .;7908725500023
SKIN FOUNDATION - BASE LIQUIDA./230L - .;7908725500030
SKIN FOUNDATION - BASE LIQUIDA./300M - .;7908725500047
SKIN FOUNDATION - BASE LIQUIDA./315M - .;7908725500054
SKIN FOUNDATION - BASE LIQUIDA./340M;7908725501891
SKIN FOUNDATION - BASE LIQUIDA./400M - .;7908725500061
SKIN FOUNDATION - BASE LIQUIDA./420T - .;7908725500078
SKIN FOUNDATION - BASE LIQUIDA./440T - .;7908725500085
SKIN TINT - BASE FLUIDA./210L OCEANE;7908725502508
SKIN TINT - BASE FLUIDA./230L OCEANE;7908725502515
SKIN TINT - BASE FLUIDA./300M OCEANE;7908725502522
SKIN TINT - BASE FLUIDA./315M OCEANE;7908725502539
SKIN TINT - BASE FLUIDA./340M OCEANE;7908725502546
SPECIAL DIAMOND BLEND ESPONJA DE;7898930769189
STAR ACNE PATCHES - ADESIVOS SECATIVOS;7908725502201
STICK COR GYN 5G- BATOM/ BLUSH/ SOMB.;7908847801954
STICK COR JAMPA 5G- BATOM/ BLUSH/ SOMB.;7908847801879
STICK TINT BALM WINE FRAN;7898969501897
SUPER MATTE SERUM SKIN EXPERT 30ML;7899054015367
THE LIPSTICK EDITION - BATOM SIENNA./NUDE;7898930770062
THE LIPSTICK EDITION - CINNAMON./TERRACOTA;7908725503369
THE LIPSTICK EDITION - CLOVE./ROSA ESCURO;7908725503352
THE LIPSTICK EDITION - HIBISCUS./ROSA OCEANE;7,90873E+12
THE LIPSTICK EDITION - ROSEMARY./ROSA;7908725503376
TINT BALM PINK 6,3G - FRAN;7898969501880
TINTURA MAGIC RETOUCH INSTANTANEO LOURO7;509552917413
TINTURA MAGIC RETOUCH INSTANTANEO LOURO7;509552917420
TO GO - PALETA DE SOMBRAS./MY GLAM -;7898576398910
TO GO - PALETA DE SOMBRAS./NUDE - .;7898576398897
TRUSS CONDICIONADOR BASIC 1000ML - TRUSS;7898625795875
TRUSS SHAMPOO USO OBRIGATORIO 300ML;7898625794663
VULT PO COMPACTO FACIAL FPS90 COR 4;7899852024868
VULT PO COMPACTO FACIAL FPS90 COR 5;7899852024776
VZ 86 - BASE LIQUIDA FIX C/6UN COR 02;7908517901748
VZ 86 - BASE LIQUIDA FIX C/6UN COR 04;7908517901762
VZ 86 - BASE LIQUIDA FIX C/6UN COR 09;7908517901816
VZ 86 - BASE LIQUIDA FIX C/6UN COR 11;7908517901830
VZ 86 - BASE LIQUIDA FIX C/6UN COR 12;7908517901847
VZ 86 - BASE LIQUIDA FIX C/6UN COR 13;7908517901854
VZ 92 - CORRETIVO LIQUIDO FIX C/6UN COR 01;7908517901960
VZ 92 - CORRETIVO LIQUIDO FIX C/6UN COR 02;7908517901977
VZ 92 - CORRETIVO LIQUIDO FIX C/6UN COR 03;7908517901984
VZ 92 - CORRETIVO LIQUIDO FIX C/6UN COR 07;7908517902028
VZ 92 - CORRETIVO LIQUIDO FIX C/6UN COR 08;7908517902035
VZ 92 - CORRETIVO LIQUIDO FIX C/6UN COR 09;7908517902042
VZ 92 - CORRETIVO LIQUIDO FIX C/6UN COR 10;7908517902059
VZ 92 - CORRETIVO LIQUIDO FIX C/6UN COR 12;7908517902073
VZ 93 - GLOSS HOT LIPS BROWN CX. C/6UN;7908517901946
VZ501 - GLOSS INFANTIL BRILHA BRILHA -;7908517905531
VZ94 - PO BRONZEADOR BE BRONZER - COR 01;7908517902103
VZ95 - CREAM CONTOUR CONTORNO EM STICK;7908517902363
VZ95 - CREAM CONTOUR CONTORNO EM STICK;7908517902370
VZ95 - CREAM CONTOUR CONTORNO EM STICK;7908517902387
VZ99 - LIP SUGAR BALM - PEACH PIE LARANJA;7908517905340
VZ99 - LIP SUGAR BALM - VANILLA CAKE INCOLOR7;7,89864E+12
